# Thu Jun  8 18:04:56 2017
#simulation with:
#SEED 17
#N_AGENTS 203
#N_USERS 200
#N_SOURCES 3
#P_a 0.015
#P_s 0.15
#dim 3
#time 500
#memorySize 1
ag1,ag2,time,weight,type
197,113,176,0.6338070626478287,a
126,110,176,0.9802660495935136,a
128,194,176,0.5048558236736578,a
135,198,176,0.3569508957261704,a
65,84,176,0.894873331052555,r
88,26,176,0.9842883620201213,r
51,75,176,0.8165980861258193,r
78,152,176,0.45212711440715014,r
76,183,176,0.9942986761972936,r
162,171,177,0.7126201939500141,a
70,82,177,0.7283540626687341,a
108,158,177,0.8125705525534028,a
44,173,177,0.5927065054604194,a
6,48,177,0.5020917959756073,r
186,97,177,0.6042624715798368,r
166,196,177,0.5434540563238901,r
89,122,177,0.5828273293191003,r
71,132,177,0.820888175955472,r
61,179,178,0.6797351272109449,a
53,179,178,0.7880258611470253,a
193,2,178,0.39118049012956096,a
173,118,178,0.9088492375069734,a
118,6,178,0.3059250332416392,a
106,119,178,0.8470588824754259,a
15,154,178,0.6848358472339813,r
86,13,178,0.5804549544477278,r
183,199,178,0.7923633722207074,r
36,37,178,0.7107726417681072,r
22,201,179,0.7503685421728368,a
66,92,179,0.8445532773953972,a
50,94,179,0.6048170064232894,a
145,18,179,0.8724734802603631,r
99,129,179,0.4584622587178685,r
193,108,179,0.5883456775104408,r
195,142,179,0.9390323075706124,r
10,168,179,0.9468197137975549,r
135,38,179,0.7607567912029107,r
37,192,179,0.3554604223327923,r
66,136,179,0.4527964348986735,r
142,96,179,0.9464762150298771,r
197,174,179,0.7247342458925801,r
150,61,179,0.869873871668652,r
191,105,179,0.6284506614521187,r
104,65,180,0.8398539941103182,a
47,168,180,0.44780707605868364,a
25,7,180,0.7275537743930014,a
11,130,180,0.7447629782267299,r
6,71,180,0.8113503154189561,r
197,48,180,0.32181839017002956,r
123,138,180,0.9029347379661175,r
128,69,181,0.5299580395910959,a
61,24,181,0.5225200658858078,a
148,153,181,0.5706716101701435,a
72,128,181,0.6256413067021824,a
125,68,181,0.46142198946252905,r
198,135,181,0.3569508957261704,r
66,70,181,0.9745556522403214,r
7,25,181,0.7275537743930014,r
106,42,182,0.9061455540181085,a
175,113,182,0.31434066803375826,a
